Date, Hamish kg, Hamish lb, Bones kg, Bones lb
2014-12-13, 23.6, 52.0, 15.3, 33.7
2014-12-26, 23.5, 51.8, 15.5, 34.2
2014-12-30, 23.1, 50.9, 15.3, 33.7
2014-12-31, 23.0, 50.7, 15.5, 34.2
2015-01-16, 23.5, 51.8, 16.0, 35.3
2015-03-21, 25.3, 55.8, 16.7, 36.8
2015-07-18, 21.3, 47.0, 16.0, 35.3
2015-07-24, 21.7, 47.8, 16.1, 35.5
2015-07-30, 21.2, 46.7, 16.2, 35.7
2015-08-07, 21.2, 46.7, 15.9, 35.1
2015-08-13, 21.5, 47.4, 16.3, 35.9
2015-08-15, 21.3, 47.0, 16.1, 35.5
2015-08-20, 21.1, 46.5, 15.9, 35.1
2015-09-02, 21.2, 46.7, 15.5, 34.2
2015-09-05, 21.1, 46.5, 15.4, 34.0
2015-09-09, 20.9, 46.1, 15.7, 34.6
2015-09-13, 20.6, 45.4, 15.4, 34.0
2015-09-26, 20.3, 44.8, 15.6, 34.4
2015-09-30, 20.6, 45.4, 15.9, 35.1
2015-10-08, 20.2, 44.5, 15.9, 35.1
2015-10-14, 20.6, 45.4, 16.2, 35.7
2015-10-27, 20.4, 45.0, 16.1, 35.5
2015-11-14, 20.1, 44.3, 15.8, 34.8
2015-12-29, 20.2, 44.5, 16.0, 35.3
2016-02-14, 19.9, 43.9, 16.4, 36.2
